text,labels
"levodopa - induced dyskinesias are improved by fluoxetine . we evaluated the severity of motor disability and dyskinesias in seven levodopa - responsive patients with parkinson 's disease after an acute challenge with the mixed dopamine agonist , apomorphine , before and after the administration of fluoxetine ( 20 mg twice per day ) for 11 + / - 1 days . after fluoxetine treatment , there was a significant 47 % improvement ( p < 0.05 ) of apomorphine - induced dyskinesias without modification of parkinsonian motor disability . the dyskinesias were reduced predominantly in the lower limbs during the onset and disappearance of dystonic dyskinesias ( onset - and end - of - dose dyskinesias ) and in the upper limbs during choreic mid - dose dyskinesias . the results suggest that increased brain serotoninergic transmission with fluoxetine may reduce levodopa - or dopamine agonist - induced dyskinesias without aggravating parkinsonian motor disability .","I-CH,O,O,I-DI,O,O,O,I-CH,O,O,O,O,O,O,I-DI,I-DI,O,I-DI,O,O,I-CH,O,O,O,O,I-DI,I-DI,I-DI,O,O,O,O,O,O,O,I-CH,O,O,I-CH,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,I-DI,O,O,O,I-DI,I-DI,I-DI,O,O,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,I-DI,O,O,O,O,O,O,O,O,O,I-DI,O,O,O,O,O,O,O,I-DI,I-DI,I-DI,I-DI,I-DI,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,I-CH,O,O,I-CH,O,O,O,I-DI,O,O,I-DI,I-DI,I-DI,O"
"allergic reaction to 5 - fluorouracil infusion . an allergic reaction consisting of angioneurotic edema secondary to continuous infusion 5 - fluorouracil occurred in a patient with recurrent carcinoma of the oral cavity , cirrhosis , and cisplatin - induced impaired renal function . this reaction occurred during the sixth and seventh courses of infusional chemotherapy . oral diphenhydramine and prednisone were ineffective in preventing the recurrence of the allergic reaction . discontinuance of effective chemotherapy in this patient during partial remission resulted in fatal disease progression .","I-DI,I-DI,O,I-CH,I-CH,I-CH,O,O,O,I-DI,I-DI,O,O,I-DI,I-DI,O,O,O,O,I-CH,I-CH,I-CH,O,O,O,O,O,O,I-DI,I-DI,I-DI,I-DI,I-DI,O,I-DI,O,O,I-CH,O,O,I-DI,I-DI,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,I-CH,O,O,O,O,O,O,O,O,I-DI,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"subacute effects of propranolol and b 24 / 76 on isoproterenol - induced rat heart hypertrophy in correlation with blood pressure . we compared the potential beta - receptor blocker , b 24 / 76 i.e . 1 - ( 2,4 - dichlorophenoxy ) - 3 [ 2 - 3,4 - dimethoxyphenyl ) ethanolamino ] - prop an - 2 - ol , which is characterized by beta 1 - adrenoceptor blocking and beta 2 - adrenoceptor stimulating properties with propranolol . the studies were performed using an experimental model of isoproterenol - induced heart hypertrophy in rats . a correlation of the blood pressure was neither found in the development nor in the attempt to suppress the development of heart hypertrophy with the two beta - receptor blockers . both beta - blockers influenced the development of hypertrophy to a different , but not reproducible extent . it was possible to suppress the increased ornithine decarboxylase activity with both beta - blockers in hypertrophied hearts , but there was no effect on the heart mass . neither propranolol nor b 24 / 76 could stop the changes in the characteristic myosin isoenzyme pattern of the hypertrophied rat heart . thus , the investigations did not provide any evidence that the beta - receptor blockers propranolol and b 24 / 76 have the potency to prevent isoproterenol from producing heart hypertrophy .","O,O,O,I-CH,O,O,O,O,O,O,I-CH,O,O,O,I-DI,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,I-DI,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,I-DI,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,I-DI,I-DI,O"
"severe citrate toxicity complicating volunteer apheresis platelet donation . we report a case of severe citrate toxicity during volunteer donor apheresis platelet collection . the donor was a 40 - year - old female , first - time apheresis platelet donor . past medical history was remarkable for hypertension , hyperlipidemia , and depression . reported medications included bumetanide , pravastatin , and paroxetine . thirty minutes from the start of the procedure , the donor noted tingling around the mouth , hands , and feet . she then very rapidly developed acute onset of severe facial and extremity tetany . empirical treatment with intravenous calcium gluconate was initiated , and muscle contractions slowly subsided over approximately 10 to 15 minutes . the events are consistent with a severe reaction to calcium chelation by sodium citrate anticoagulant resulting in symptomatic systemic hypocalcemia . upon additional retrospective analysis , it was noted that bumetanide is a loop diuretic that may cause significant hypocalcemia . we conclude that careful screening for medications and underlying conditions predisposing to hypocalcemia is recommended to help prevent severe reactions due to citrate toxicity . laboratory measurement of pre - procedure serum calcium levels in selected donors may identify cases requiring heightened vigilance . the case also illustrates the importance of maintaining preparedness for managing rare but serious reactions in volunteer apheresis blood donors .","O,I-CH,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,O,I-DI,O,O,I-DI,O,O,O,O,I-CH,O,I-CH,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,O,O,O,O,O,I-CH,I-CH,O,O,O,O,I-DI,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,I-CH,I-CH,O,O,O,O,O,I-DI,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,I-CH,I-CH,O,O,O,O,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,O,O,O,O,O,O,O,O,O,I-CH,I-DI,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"acute encephalopathy and cerebral vasospasm after multiagent chemotherapy including peg - asparaginase and intrathecal cytarabine for the treatment of acute lymphoblastic leukemia . a 7 - year - old girl with an unusual reaction to induction chemotherapy for precursor b - cell acute lymphoblastic leukemia ( all ) is described . the patient developed acute encephalopathy evidenced by behavioral changes , aphasia , incontinence , visual hallucinations , and right - sided weakness with diffuse cerebral vasospasm on magnetic resonance angiography after the administration of intrathecal cytarabine . vincristine , dexamethasone , and polyethylene glycol - asparaginase were also administered before the episode as part of induction therapy . neurologic status returned to baseline within 10 days of the acute event , and magnetic resonance angiography findings returned to normal 4 months later .","I-DI,I-DI,O,I-DI,I-DI,O,O,O,O,I-CH,I-CH,I-CH,O,O,I-CH,O,O,O,O,I-DI,I-DI,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,I-DI,I-DI,O,I-DI,O,O,O,O,O,O,O,I-DI,I-DI,O,O,O,O,O,I-DI,O,I-DI,O,I-DI,I-DI,O,O,O,O,O,I-DI,O,O,I-DI,I-DI,O,O,O,O,O,O,O,O,O,I-CH,O,I-CH,O,I-CH,O,O,I-CH,I-CH,I-CH,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
theophylline neurotoxicity in pregnant rats . the purpose of this investigation was to determine whether the neurotoxicity of theophylline is altered in advanced pregnancy . sprague - dawley rats that were 20 days pregnant and nonpregnant rats of the same age and strain received infusions of aminophylline until onset of maximal seizures which occurred after 28 and 30 minutes respectively . theophylline concentrations at this endpoint in serum ( total ) and csf were similar but serum ( free ) and brain concentrations were slightly different in pregnant rats . theophylline serum protein binding determined by equilibrium dialysis was lower in pregnant rats . fetal serum concentrations at onset of seizures in the mother were similar to maternal brain and csf concentrations and correlated significantly with the former . it is concluded that advanced pregnancy has a negligible effect on the neurotoxic response to theophylline in rats .,"I-CH,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,I-DI,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,O,O,I-CH,O,O,O"
"nightmares and hallucinations after long - term intake of tramadol combined with antidepressants . tramadol is a weak opioid with effects on adrenergic and serotonergic neurotransmission that is used to treat cancer pain and chronic non malignant pain . this drug was initiated in association with paroxetine and dosulepine hydrochloride in a tetraparetic patient with chronic pain . fifty - six days after initiation of the treatment the patient presented hallucinations that only stopped after the withdrawal of psycho - active drugs and tramadol . the case report questions the long term use of pain killers combined with psycho - active drugs in chronic non malignant pain , especially if pain is under control .","O,O,I-DI,O,O,O,O,O,O,I-CH,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,I-DI,O,O,O,O,I-DI,O,O,O,O,O,O,O,O,I-CH,O,I-CH,I-CH,O,O,I-DI,O,O,I-DI,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,I-DI,O,O,O,O,O,O,O,O,O,O,O,I-DI,O,O,O,I-DI,O,O,O,O"
morphological evaluation of the effect of d - ribose on adriamycin - evoked cardiotoxicity in rats . the influence of d - ribose on adriamycin - induced myocardiopathy in rats was studied . adriamycin in the cumulative dose of 25 mg / kg evoked fully developed cardiac toxicity . d - ribose in the multiple doses of 200 mg / kg did not influence adr cardiotoxicity .,"O,O,O,O,O,O,I-CH,I-CH,I-CH,O,I-CH,O,O,I-DI,O,O,O,O,O,O,I-CH,I-CH,I-CH,O,I-CH,O,O,I-DI,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,I-DI,O,I-CH,I-CH,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,I-DI,O"
"differential diagnosis of high serum creatine kinase levels in systemic lupus erythematosus . we report the clinical and bioptic findings for a 57 - year - old woman with severe chloroquine - induced myopathy . since 1989 , she had been suffering from systemic lupus erythematosus ( sle ) with renal involvement and undergone periods of treatment with azathioprine and cyclophosphamide . additional therapy with chloroquine ( cq ) was started because of arthralgia . at the same time , slightly increased creatine kinase ( ck ) levels were noted . myositis was suspected , and the patient was treated with steroids . the ck increase persisted , however , and she developed progressive muscular weakness and muscular atrophy . routine controls revealed markedly elevated ck levels of 1,700 u / l . the neurological and electrophysiological findings were not typical of myositis . thus , muscle biopsy of the deltoid muscle was performed in order to exclude polymyositis or toxic myopathy . as it revealed chloroquine - induced myopathy , medication was stopped . discriminating between primary sle - induced affection of the musculoskeletal system and drug - induced side effects is important for appropriate treatment of sle patients .","O,O,O,O,O,I-CH,O,O,O,I-DI,I-DI,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,I-DI,O,O,O,O,O,O,O,O,O,I-DI,I-DI,I-DI,O,I-DI,O,O,I-DI,I-DI,O,O,O,O,O,O,I-CH,O,I-CH,O,O,O,O,I-CH,O,I-CH,O,O,O,O,O,I-DI,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,I-DI,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,I-DI,O,I-DI,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,O,O,I-DI,O,O,O,O,I-CH,O,O,I-DI,O,O,O,O,O,O,O,O,I-DI,O,O,I-DI,I-DI,I-DI,I-DI,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,O,O"
"hemodynamics and myocardial metabolism under deliberate hypotension . an experimental study in dogs . coronary blood flow , cardiac work and metabolism were studied in dogs under sodium nitroprusside ( snp ) and trimetaphan ( tmp ) deliberate hypotension ( 20 % and 40 % mean pressure decrease from baseline ) . regarding the effects of drug - induced hypotension on coronary blood flow , aortic and coronary sinus metabolic data ( ph , po2 , pco2 ) we could confirm that nitroprusside hypotension could be safely used to 30 % mean blood pressure decrease from control , trimetaphan hypotension to 20 % mean blood pressure decrease . cardiac work was significantly reduced during snp hypotension . myocardial o2 consumption and o2 availability were directly dependent on the coronary perfusion . careful invasive monitoring of the blood pressure , blood gases and of the ecg st - t segment is mandatory .","O,O,O,O,O,O,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,I-CH,O,I-CH,O,O,I-CH,O,I-CH,O,O,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,I-DI,O,O,I-CH,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
